signal_id,true_label,agent_action,route_taken,agent_confidence,label_match,is_quarantined,high_risk_hits,max_risk_score,ml_risk_prob,ml_shannon_entropy,rag_similarity,structural_hallucination_rate,calibration_error,flag_epistemic_uncertainty,flag_retrieval_uncertainty,flag_structural_hallucination,flag_overconfident_llm
PF-568569,VALID,VALID,ESCALATION_RAG_LLM,0.95,True,False,5,0.9,0.9068444158038546,0.44691594920678435,0.49970000000000003,0.0,0.0431555841961454,True,False,False,False
PF-164060,PHISHING,PHISHING,FAST_PATH_BYPASS,0.9569541047387862,True,False,5,0.95,0.9569541047387862,0.25608731099025084,0.2842,0.0,0.0,False,False,False,False
PF-376345,SPAM,VALID,ESCALATION_RAG_LLM,0.95,False,False,5,0.95,0.8584250137647423,0.5883487431646638,0.13590000000000002,0.0,0.09157498623525762,True,False,False,False
PF-731890,PHISHING,PHISHING,FAST_PATH_BYPASS,0.9545164556747459,True,False,5,0.95,0.9545164556747459,0.26689234607008694,0.16969999999999996,0.0,0.0,False,False,False,False
PF-647261,VALID,VALID,ESCALATION_RAG_LLM,0.9083,True,False,5,0.95,0.9083163416670993,0.4420648209482321,0.22350000000000003,0.0,1.634166709929552e-05,True,False,False,False
PF-909569,PHISHING,PHISHING,FAST_PATH_BYPASS,0.9594896810522089,True,False,5,0.95,0.9594896810522089,0.24462711001708984,0.3004,0.0,0.0,False,False,False,False
PF-917837,VALID,VALID,ESCALATION_RAG_LLM,0.7389,True,False,5,0.95,0.7388854330909574,0.8284236159870995,0.2803,0.0,1.4566909042557086e-05,True,False,False,False
PF-825260,PHISHING,VALID,ESCALATION_RAG_LLM,0.98,False,False,5,0.95,0.9203544407518497,0.40092906331732653,0.24019999999999997,0.0,0.05964555924815029,True,False,False,False
PF-950985,VALID,SPAM,FAST_PATH_BYPASS,0.9568089542897056,False,False,5,0.95,0.9568089542897056,0.2567364184408534,0.15080000000000005,0.0,0.0,False,False,False,False
PF-227520,VALID,VALID,ESCALATION_RAG_LLM,0.9488,True,False,5,0.96,0.9488184967051151,0.29139485454756864,0.19310000000000005,0.0,1.8496705115111922e-05,True,False,False,False
